year,I,I!,K,K g,KK,Pn,S,SP,b,c',fn,gK,r',s,s',s'u,s'Â«u,u,r_prime_calc,s_u_calc,V_from_SP,C_from_SP,r_ultra_precise,K_unified,u_corrected,r_calculated_raw,gK_ultra_precise,s_u_ultra_precise
1958,,34.89,,0.18,710.9,96.54,256.15,256.04,0.62,0.86,,0.049,0.47,,0.14,0.1,,0.77,0.4677443810936567,0.1078,1828.857142857143,1572.817142857143,0.47,710.9,0.77,0.4677443810936567,,0.11
1959,,49.44,,0.17,738.0,104.46,278.42,278.34,0.62,0.82,,0.067,0.45,,0.18,0.15,,0.84,0.4489934185056136,0.1512,1546.3333333333333,1267.993333333333,0.45,738.0,0.84,0.44899341850561364,0.038,0.15
1960,,46.74,,0.16,755.7,104.04,286.46,285.93,0.64,0.84,,0.062,0.45,,0.16,0.14,,0.84,0.4504338456303521,0.1344,1787.0625,1501.1325,0.45,755.7,0.84,0.45043384563035216,0.024,0.13
1961,,45.31,,0.17,775.4,109.64,296.54,295.95,0.63,0.85,,0.058,0.46,,0.15,0.13,,0.83,0.4598481623165346,0.1244999999999999,1973.0,1677.05,0.46,775.4,0.83,0.45984816231653464,0.026,0.12
1962,,54.09,,0.18,802.3,122.08,320.2,319.54,0.62,0.83,,0.067,0.46,,0.17,0.15,,0.87,0.4577930404111169,0.1479,1879.6470588235293,1560.107058823529,0.46,802.3,0.87,0.45779304041111696,0.035,0.15
1963,,58.27,,0.17,832.0,129.08,337.71,337.07,0.62,0.83,,0.07,0.45,,0.17,0.15,,0.9,0.4501469017094016,0.153,1982.7647058823527,1645.6947058823528,0.45,832.0,0.9,0.45014690170940164,0.037,0.15
1964,,63.05,,0.17,872.3,138.11,364.54,364.0,0.62,0.83,,0.072,0.45,,0.17,0.16,,0.93,0.4486963767767575,0.1581,2141.176470588235,1777.1764705882351,0.45,872.3,0.93,0.4486963767767575,0.048,0.16
1965,,77.12,,0.17,932.3,154.28,395.0,394.44,0.61,0.8,,0.083,0.43,,0.2,0.19,,0.98,0.431717039491974,0.196,1972.2,1577.76,0.43,932.3,0.98,0.43171703949197404,0.069,0.2
1966,,86.75,,0.16,1014.4,167.85,430.65,430.09,0.61,0.8,,0.086,0.42,,0.2,0.2,,1.01,0.4197867539119841,0.202,2150.45,1720.36,0.42,1014.4,1.01,0.41978675391198417,0.088,0.2
1967,,82.29,,0.16,1093.0,170.38,454.4,453.42,0.63,0.82,,0.075,0.42,,0.18,0.18,,0.99,0.4190301921317475,0.1782,2519.0,2065.58,0.42,1093.0,0.99,0.4190301921317475,0.077,0.18
1968,,89.23,,0.15,1202.5,175.58,493.63,493.12,0.64,0.82,,0.074,0.41,,0.18,0.18,,0.99,0.4142212142212143,0.1782,2739.555555555556,2246.435555555556,0.41,1202.5,0.99,0.4142212142212143,0.1,0.18
1969,,100.75,,0.14,1320.9,177.83,523.83,523.25,0.66,0.81,,0.076,0.4,,0.19,0.19,,0.99,0.4001327530739295,0.1881,2753.9473684210525,2230.6973684210525,0.4,1320.9,0.99,0.40013275307392954,0.098,0.19
1970,,93.49,,0.14,1453.4,179.61,547.67,546.86,0.67,0.83,,0.064,0.42,,0.17,0.15,,0.9,0.4180695075149457,0.153,3216.8235294117644,2669.9635294117643,0.42,1453.4,0.9,0.41806950751494576,0.1,0.15
1971,,112.14,,0.15,1598.9,204.43,596.7,596.04,0.66,0.81,,0.07,0.42,,0.19,0.17,,0.88,0.4236150990169377,0.1672,3137.052631578947,2541.012631578947,0.42,1598.9,0.88,0.4236150990169377,0.1,0.17
1972,,134.63,,0.14,1737.7,225.26,645.98,645.51,0.65,0.79,,0.077,0.4,,0.21,0.19,,0.93,0.3994341797741545,0.1953,3073.857142857143,2428.347142857144,0.4,1737.7,0.93,0.3994341797741545,0.087,0.2
1973,,160.1,,0.14,1940.3,258.07,719.75,719.63,0.64,0.78,,0.083,0.39,,0.22,0.21,,,,,3271.0454545454545,2551.4154545454544,0.41,1940.3,0.915,0.40533983111732197,0.117,0.2
1974,152.3,,2387.1,,,,,778.82,,0.8,0.12,0.064,0.36,778.25,0.2,,0.18,0.9,0.3625133239309436,0.18,3894.1,3115.28,0.36,2387.1,0.9,0.36251332393094365,0.23,0.18
1975,120.41,,2661.7,,,,,868.78,,0.86,0.14,0.045,0.41,867.02,0.14,,0.11,0.79,0.4131650895996325,0.1106,6205.571428571428,5336.791428571428,0.41,2661.7,0.79,0.4131650895996325,0.115,0.11
1976,163.83,,2920.8,,,,,971.25,,0.83,0.14,0.056,0.4,968.82,0.17,,0.14,0.83,0.4006370593301719,0.1411,5713.235294117647,4741.985294117647,0.4,2920.8,0.83,0.40063705933017196,0.097,0.14
1977,212.85,,3253.5,,,,,1086.66,,0.8,0.13,0.065,0.38,1083.13,0.2,,0.17,0.87,0.3839048663773231,0.174,5433.3,4346.64,0.38,3253.5,0.87,0.38390486637732313,0.114,0.17
1978,268.03,,3774.6,,,,,1221.76,,0.78,0.13,0.071,0.36,1221.07,0.22,,0.2,0.89,0.3636846407417528,0.1958,5553.454545454545,4331.694545454546,0.36,3774.6,0.89,0.36368464074175283,0.16,0.2
1979,288.23,,4225.2,,,,,1347.44,,0.79,0.13,0.068,0.36,1346.24,0.21,,0.19,0.89,0.3583209145341967,0.1868999999999999,6416.380952380953,5068.940952380954,0.36,4225.2,0.89,0.3583209145341967,0.119,0.19
1980,254.39,,4884.4,,,,,1463.67,,0.83,0.12,0.053,0.36,1462.7,0.17,,0.15,0.85,0.3525437527398151,0.1445,8609.823529411764,7146.153529411764,0.35,4884.4,0.85,0.35254375273981514,0.156,0.14
1981,323.44,,5503.7,,,,,1669.4,,0.81,0.12,0.059,0.36,1668.19,0.19,,0.16,0.84,0.3610990701493455,0.1596,8786.315789473685,7116.915789473685,0.36,5503.7,0.84,0.3610990701493455,0.127,0.16
1982,249.11,,5859.2,,,,,1726.06,,0.86,0.12,0.043,0.38,1724.68,0.14,,0.11,0.77,0.3825840325703788,0.1078,12328.999999999998,10602.94,0.38,5859.2,0.77,0.3825840325703788,0.065,0.11
1983,290.23,,6094.71,,,,,1867.15,,0.84,0.12,0.048,0.36,1865.8,0.16,,0.13,0.84,0.3647093330195562,0.1344,11669.6875,9802.5375,0.36,6094.71,0.84,0.3647093330195562,0.04,0.13
1984,429.23,,6432.91,,,,,2103.7,,0.8,0.13,0.067,0.37,2101.78,0.2,,0.18,0.89,0.3674399090253927,0.178,10518.499999999998,8414.8,0.37,6432.91,0.89,0.36743990902539275,0.055,0.18
1985,392.53,,6706.44,,,,,2258.31,,0.83,0.13,0.059,0.38,2258.68,0.17,,0.16,0.89,0.3783567684631689,0.1513,13284.176470588234,11025.866470588237,0.38,6706.44,0.89,0.37835676846316896,0.043,0.15
1986,398.85,,7056.52,,,,,2389.25,,0.83,0.14,0.057,0.4,2401.11,0.17,,0.14,0.85,0.3983383244065313,0.1445,14054.41176470588,11665.16176470588,0.4,7056.52,0.85,0.39833832440653133,0.052,0.14
1987,422.29,,7459.32,,,,,2555.52,,0.83,0.13,0.057,0.39,2563.38,0.17,,0.14,0.87,0.393786472539699,0.1479,15032.470588235294,12476.950588235291,0.39,7459.32,0.87,0.393786472539699,0.057,0.15
1988,441.91,,7895.58,,,,,2755.18,,0.84,0.13,0.056,0.39,2752.81,0.16,,0.14,0.9,0.3877246650798435,0.144,17219.875,14464.695,0.39,7895.58,0.9,0.38772466507984354,0.058,0.14
1989,447.63,,8387.49,,,,,2945.32,,0.85,0.14,0.053,0.39,2943.35,0.15,,0.14,0.89,0.3945576465196074,0.1335,19635.466666666667,16690.146666666667,0.39,8387.49,0.89,0.3945576465196074,0.062,0.13
